study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	nominal_length	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	first_created
PRJDB642	DRP000856	SAMD00011898	DRS002693	DRX002589	DRR003258	DRA000825	1423833	Lactobacillus sakei subsp. sakei DSM 20017 = JCM 1157	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	546822	170873145	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus sakei subsp. sakei JCM 1157	Genome sequencing of Lactobacillus sakei subsp. sakei JCM 1157	DRP000856	DRX002589	DRR003258	116999038	e565c71fc4538f0da78ba8902b7d7429	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003258/DRR003258.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003258/DRR003258.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003258/DRR003258.fastq.gz							426824587	71224a8a0dcb81c6a7e351b4c6af56bb	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003258	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003258	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003258				SAMD00011898		Whole genome analysis of Lactobacillus sakei subsp. sakei JCM 1157	2014-06-13
PRJDB644	DRP000858	SAMD00003823	DRS002695	DRX002591	DRR003260	DRA000827	1423754	Lactobacillus hamsteri DSM 5661 = JCM 6256	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	598632	189204925	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus hamsteri JCM 6256	Genome sequencing of Lactobacillus hamsteri JCM 6256	DRP000858	DRX002591	DRR003260	127542693	560c1f9885784a8fe22d5ed5c23a7760	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003260/DRR003260.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003260/DRR003260.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003260/DRR003260.fastq.gz							472341174	6797a39ea581bb482ee3f06e06de00e6	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003260	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003260	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003260				SAMD00003823		Whole genome analysis of Lactobacillus hamsteri JCM 6256	2014-06-13
PRJDB645	DRP000867	SAMD00008926	DRS002708	DRX002613	DRR003288	DRA000836	1423827	Lactobacillus kefiranofaciens subsp. kefiranofaciens DSM 5016 = JCM 6985	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	664139	205726483	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus kefiranofaciens subsp. kefiranofaciens JCM 6985	Genome sequencing of Lactobacillus kefiranofaciens subsp. kefiranofaciens JCM 6985	DRP000867	DRX002613	DRR003288	125529118	00fb4e84331ecab33232902c3760b218	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003288/DRR003288.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003288/DRR003288.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003288/DRR003288.fastq.gz							523276761	26e949aa7757ef79ee605b793b519000	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003288	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003288	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003288				SAMD00008926		Whole genome analysis of Lactobacillus kefiranofaciens subsp. kefiranofaciens JCM 6985	2014-06-13
PRJDB646	DRP000868	SAMD00012331	DRS002709	DRX002614	DRR003289	DRA000837	1122151	Lactobacillus paralimentarius DSM 13238 = JCM 10415	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	301094	97103965	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus paralimentarius JCM 10415	Genome sequencing of Lactobacillus paralimentarius JCM 10415	DRP000868	DRX002614	DRR003289	57210537	19d2e75cc1badacb328c52cec1702124	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003289/DRR003289.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003289/DRR003289.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003289/DRR003289.fastq.gz							243894794	8011b91d9ab655de13354f5f495403e0	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003289	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003289	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003289				SAMD00012331		Whole genome analysis of Lactobacillus paralimentarius JCM 10415	2014-06-13
PRJDB647	DRP000869	SAMD00013881	DRS002710	DRX002615	DRR003290	DRA000838	1423740	Lactobacillus equi DSM 15833 = JCM 10991	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	311803	100838113	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus equi JCM 10991	Genome sequencing of Lactobacillus equi JCM 10991	DRP000869	DRX002615	DRR003290	63538160	182f168f6825a8abc4602c4aef3ad305	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003290/DRR003290.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003290/DRR003290.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003290/DRR003290.fastq.gz							252639258	87906d3002b87d2ba8b38c7641722efa	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003290	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003290	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003290				SAMD00013881		Whole genome analysis of Lactobacillus equi JCM 10991	2014-06-13
PRJDB648	DRP000870	SAMD00010816	DRS002711	DRX002616	DRR003291	DRA000839	1423747	Lactobacillus fuchuensis DSM 14340 = JCM 11249	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	401698	127780726	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus fuchuensis JCM 11249	Genome sequencing of Lactobacillus fuchuensis JCM 11249	DRP000870	DRX002616	DRR003291	85067948	c00d172fb8d9af925020c1ce37afc540	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003291/DRR003291.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003291/DRR003291.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003291/DRR003291.fastq.gz							320968751	a04c302298cd074ec3ea359a1fded43f	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003291	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003291	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003291				SAMD00010816		Whole genome analysis of Lactobacillus fuchuensis JCM 11249	2014-06-13
PRJDB649	DRP000871	SAMD00003395	DRS002712	DRX002617	DRR003292	DRA000840	1423734	Lactobacillus composti DSM 18527 = JCM 14202	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	484069	152935003	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus composti JCM 14202	Genome sequencing of Lactobacillus composti JCM 14202	DRP000871	DRX002617	DRR003292	99154794	e651695e2ff972d6b7e9f7afdb11dda4	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003292/DRR003292.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003292/DRR003292.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003292/DRR003292.fastq.gz							385786140	2185d48bdb4c118db54b7ca6f6ed155f	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003292	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003292	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003292				SAMD00003395		Whole genome analysis of Lactobacillus composti JCM 14202	2014-06-13
PRJDB650	DRP000872	SAMD00008721	DRS002713	DRX002618	DRR003293	DRA000841	1423755	Lactobacillus hayakitensis DSM 18933 = JCM 14209	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	393446	128487495	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus hayakitensis JCM 14209	Genome sequencing of Lactobacillus hayakitensis JCM 14209	DRP000872	DRX002618	DRR003293	78622383	f4d212b3565273dad521f1e77a59cd62	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003293/DRR003293.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003293/DRR003293.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003293/DRR003293.fastq.gz							320506464	747720d2a15375b86dfb1e76652da2d8	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003293	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003293	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003293				SAMD00008721		Whole genome analysis of Lactobacillus hayakitensis JCM 14209	2014-06-13
PRJDB652	DRP000873	SAMD00015930	DRS002714	DRX002619	DRR003294	DRA000842	1423775	Lactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	377856	119059321	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus nodensis JCM 14932	Genome sequencing of Lactobacillus nodensis JCM 14932	DRP000873	DRX002619	DRR003294	73700421	4c81063f33cf94c36350d3faa339586c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003294/DRR003294.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003294/DRR003294.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003294/DRR003294.fastq.gz							301375236	30019666c26aed4a9a4cd1062d797e0b	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003294	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003294	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003294				SAMD00015930		Whole genome analysis of Lactobacillus nodensis JCM 14932	2014-06-13
PRJDB651	DRP000874	SAMD00011178	DRS002715	DRX002620	DRR003295	DRA000843	1423724	Lactobacillus apodemi DSM 16634 = JCM 16172	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	339541	109121932	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus apodemi JCM 16172	Genome sequencing of Lactobacillus apodemi JCM 16172	DRP000874	DRX002620	DRR003295	65965262	07e40f823aab29a3f2a48c12b6a430ef	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003295/DRR003295.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003295/DRR003295.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003295/DRR003295.fastq.gz							274531137	4f19f7b19ed0ef0a992dd14db02ac810	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003295	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003295	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003295				SAMD00011178		Whole genome analysis of Lactobacillus apodemi JCM 16172	2014-06-13
PRJDB478	DRP000993	SAMD00010723	DRS005851	DRX005723	DRR006511	DRA000955	525337	Lactobacillus paracasei subsp. paracasei ATCC 25302	LS454	454 GS FLX		SINGLE		WGS	GENOMIC	RANDOM	320793	83116934	UT_COB	2014-06-17	2015-06-19	454 GS FLX sequencing; Whole genome analysis of Lactobacillus paracasei JCM 8130	Complete genome sequence of Lactobacillus paracasei	DRP000993	DRX005723	DRR006511	64645810	760139340f512722f58d90c0a97b8a1b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR006/DRR006511/DRR006511.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR006/DRR006511/DRR006511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR006/DRR006511/DRR006511.fastq.gz							192916125	c198e2e1367d61f9b3f987b1e6ace995	ftp.sra.ebi.ac.uk/vol1/drr/DRR006/DRR006511	fasp.sra.ebi.ac.uk:/vol1/drr/DRR006/DRR006511	ftp.sra.ebi.ac.uk/vol1/drr/DRR006/DRR006511				SAMD00010723		Whole genome analysis of Lactobacillus paracasei JCM 8130	2014-06-13
PRJDB479	DRP000994	SAMD00016729	DRS005852	DRX005724	DRR006512	DRA000956	1597	Lactobacillus paracasei	LS454	454 GS FLX		SINGLE		WGS	GENOMIC	RANDOM	140824	74102714	UT_COB	2014-06-17	2015-06-19	454 GS FLX sequencing; Whole genome analysis of Lactobacillus paracasei COM0101	The genome of Lactobacillus paracasei COM0101	DRP000994	DRX005724	DRR006512	42266134	1ea23b2bc89fb56b959fd45195e7339f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR006/DRR006512/DRR006512.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR006/DRR006512/DRR006512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR006/DRR006512/DRR006512.fastq.gz							166689842	8c8c3b845ae8051e12e0d7c07cf381ba	ftp.sra.ebi.ac.uk/vol1/drr/DRR006/DRR006512	fasp.sra.ebi.ac.uk:/vol1/drr/DRR006/DRR006512	ftp.sra.ebi.ac.uk/vol1/drr/DRR006/DRR006512				SAMD00016729		Whole genome analysis of Lactobacillus paracasei COM0101	2014-06-13
